07:31:49.071 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - 
07:31:57.041 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... create new 'Search' Page
07:31:58.182 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ...click 'Add to cart' button in product Card
07:31:59.200 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... create 'HP LP3065' Page
07:31:59.200 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... save product name from product page <-----
07:31:59.264 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... ACTUAL PRODUCT NAME: HP LP3065 <-----
07:31:59.264 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... save delivery date from product page <-----
07:31:59.363 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... ACTUAL DELIVERY DATE: 2011-04-22 <-----
07:31:59.364 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... save model from product page <-----
07:31:59.410 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... ACTUAL PRODUCT MODEL: Product 21 <-----
07:31:59.411 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... save quantity from product page <-----
07:31:59.456 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... ACTUAL PRODUCT QUANTITY: 1 <-----
07:31:59.456 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... save unit price from product page <-----
07:31:59.492 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... ACTUAL UNIT PRICE: $122.00 <-----
07:31:59.492 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... calculating 'Total'
07:31:59.495 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ...  'Total' = $100.00 <-----
07:31:59.496 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... calculating 'Sub-Total'
07:31:59.496 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ...  'Sub-Total' = $100.00 <-----
07:31:59.496 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... 'flatShippingRate' is $5.00
07:31:59.496 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... calculating 'Total End'
07:31:59.496 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ...  'Total-End' = $105.00 <-----
07:31:59.588 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... click 'Add to cart' button on product 'HP LP3065' Page
07:32:00.594 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... setting 500ms delay
07:32:02.227 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... click 'Shopping cart' link in success message
07:32:02.230 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... create 'Shopping Cart' Page
07:32:03.969 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... click on 'Checkout' button
07:32:03.974 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... create 'Checkout' Page
07:32:04.139 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... setting first name - 'test'
07:32:04.277 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... setting last name - 'test'
07:32:04.415 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... setting company name - 'test'
07:32:04.551 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... setting Address 1 - 'test'
07:32:04.693 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... setting Address 2 - 'test'
07:32:04.828 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... setting City - 'test'
07:32:04.972 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... setting Post Code - '21000'
07:32:05.212 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... setting country - 'Mexico'
07:32:05.735 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... setting region - 'Mexico'
07:32:05.849 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ...click 'Continue' button for STEP 2
07:32:06.921 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ...check if 'I want to use my existing address' radio button is selected by default
07:32:07.055 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ...click 'Continue' button for STEP 3
07:32:08.104 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ...check if 'Flat Shipping Rate -$5.00' radio button is selected by default
07:32:08.258 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ...click 'Continue' button for STEP 4
07:32:09.315 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ...check if 'Cash On Delivery' radio button is selected by default
07:32:09.539 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ...click checkbox 'Terms and Conditions'
07:32:09.678 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ...click 'Continue' button for STEP 5
07:32:11.061 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ...click 'Confirm Order' button
07:32:12.074 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... create 'Checkout success' Page
07:32:12.687 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... click 'Continue' on 'Checkout success' Page
07:32:12.687 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ... validating redirection to the Home Page
07:32:12.705 [main] INFO  testCases.CheckoutFunctionality_CO.TC_CO_005_CheckoutTests - ***  END TC_CO_005_CheckoutTests ***
